,QuestionId,Answer_Source,answer,misconception_source,MisconceptionId,ConstructName,QuestionText,MisconceptionName
7206,1590,AnswerDText,\( 5 \) squares right \( 2 \) squares up,MisconceptionDId,556.0,Describe simple directions to translate a shape or object using words not vectors,Which of the following describes how to get from point \( P \) to point \( Q \) ? ![Point P and Point Q are marked on a grid. Q is 4 squares to the right and 2 squares above P](),"When describing a translation, counts the corners of squares (including the starting one) rather than the number of jumps between squares."
7207,1591,AnswerDText,\( 150 \mathrm{~mm}^{2} \),MisconceptionDId,71.0,Calculate the volume of other prisms when the dimensions are given in the same units,"What is the area of the shaded face? ![A prism of length 11mm. The cross-section, which is shaded, is a trapezium. The perpendicular height of the trapezium is 6mm. The two parallel sides of the trapezium are 6mm and 10mm.]()",Multiplies all given dimensions when calculating an area
7209,1593,AnswerDText,Perpendicular,MisconceptionDId,1419.0,Identify a transversal,"Line JK is.. ![A pair of parallel lines are drawn with the arrow on each pointing to the right.
A straight red line, KJ, is drawn so that diagonally crosses both parallel lines.]()",Believes any lines that cross are perpendicular
7213,1597,AnswerDText,![Image of a calculator button. The symbol on the button is \( S \Leftrightarrow D \)]() ![Image of a calculator button. The symbol on the button is \( S \Leftrightarrow D \)](),MisconceptionDId,127.0,Perform calculator calculations with powers,Which button would you press to raise a number to a power? Which button would you press to raise a number to a power? ![A scientific calculator]() ![A scientific calculator](),Thinks the fraction to decimal conversion button on a calculator can be used to raise to a power
7215,1599,AnswerDText,\( \frac{h+4}{c} \),MisconceptionDId,1542.0,Write algebraic expressions with correct algebraic convention,Which answer shows the following calculation using the correct algebraic convention? \( c \div(h+4) \),Believes that a fraction means dividing the denominator by the numerator
7220,1604,AnswerDText,\( 12 \),MisconceptionDId,2352.0,Calculate the square of a number,What is the value of \( 1^{2} \) ?,Writes the index as a digit on the end of a number
7221,1605,AnswerDText,\( 1 \),MisconceptionDId,1416.0,Multiply two decimals together with the same number of decimal places,\( 0.2 \times 0.8= \),Adds instead of multiplies
7223,1607,AnswerDText,Both step.s are incorrect,MisconceptionDId,1130.0,"Solve two-step linear equations, with the variable on one side, with all positive integers","Isaac is trying to solve the equation on the right. \( 15=\frac{1+k}{4} \) Here are his steps. Step \( 1: \) \(
60=1+k
\)

Step \( 2: \) \(
61=k
\) Which steps, if any, are correct?",Does not know how to solve linear equations involving fractions
7224,1608,AnswerDText,\( 1+4=5 \),MisconceptionDId,2469.0,Carry out addition problems involving one negative integer,"![Diagram of a thermometer showing positive and negative temperatures, with an arrow labelled +5 going from -1 up to 4]() Which of the following calculations is represented on the thermometer?",Believes a negative number can be replaced with its positive equivalent when answering an addition problem from a numberline
7225,1609,AnswerDText,\( 9 \),MisconceptionDId,2355.0,Identify the order of rotational symmetry of a shape,![\( \nabla \)]() What is the order of rotational symmetry of this shape?,Does not know how to find order of rotational symmetry
7226,1610,AnswerDText,ССССССССС,MisconceptionDId,382.0,Can write Roman numerals between 100 and 1000,Which of the following is the correct way to write \( 900 \) using Roman numerals?,Does not know how to combine different symbols in Roman numerals
7228,1612,AnswerDText,\( 0.318 \),MisconceptionDId,699.0,Subtract decimals where the numbers involved have a different number of decimal places,\( 0.51-0.202= \),"When “borrowing” during a subtraction problem, does not subtract one from the preceding digit"
7229,1613,AnswerDText,Neither is correct,MisconceptionDId,1110.0,Recognise whether you need to add or subtract linear equations in order to eliminate a variable,"Tom and Katie are discussing simultaneous equations Tom says you need to add these equations to eliminate \( y \)
\(\begin{array}{r}
4 x-3 y=12 \\
x+3 y=15
\end{array}\) Katie says you need to add these equations to eliminate \( y \)
\(\begin{array}{r}
4 x+3 y=12 \\
x-3 y=15
\end{array}\) Who is correct?",Does not think that -n + n = 0
7230,1614,AnswerDText,![2 axes with a negative gradient and a negative y intercept](),MisconceptionDId,2282.0,"Sketch, or identify a sketch, of a line given in the form y = mx + c, where m is negative",Which of the following sketches could represent \( y=1-4 x ? \),"Believes that in y=mx+c, m is the y-intercept"
7231,1615,AnswerDText,\( \frac{n}{3}-6=21 \),MisconceptionDId,987.0,Form expressions from situations described in words,"I think of a number. I take away six and then divide the result by three. The answer I get is \( 21 \).
Which of the following equations represents this?",Believes that the order of a worded calculation should be changed to follow BIDMAS 
7232,1616,AnswerDText,\( \frac{165}{360} \div 24 \),MisconceptionDId,565.0,"Given the sector angle on a pie chart, calculate the frequency of a group","A class of students were surveyed about how many siblings they have.

A selection of results are shown in the table. \begin{tabular}{|c|c|c|}
\hline Number of siblings & Frequency & Angle on a pie chart \\
\hline  0  & \( 5 \) & \( \) \\
\hline 1  & \( \bigstar \) & \( 165 \degree \) \\
\hline 2  & \(  \) & \(  \) \\
\hline 3  & \( 2 \) & \(  \) \\
\hline 4 or more  & \(  \) & \(  \) \\
\hline  TOTAL  & 24  & \(  \) \\
\end{tabular} Jenny wants to draw a pie chart of the information.

Which of the following calculations would work out what replaces the star?",Divides rather than multiplies 
7234,1618,AnswerDText,Triangular-based pyramid,MisconceptionDId,816.0,Identify non-prisms from a diagram,Which of the following is a correct name of this shape? ![A 3D shape with 1 square face and 4 triangular faces. 1 triangular face is attached to each side of the square face.](),Only counts visible faces
7237,1621,AnswerDText,\( b \) and \( f \),MisconceptionDId,1389.0,Identify corresponding angles,"Which of the following are corresponding angles on this diagram? ![Three almost horizontal lines, two marked with arrows. One almost vertical line crossing them. The twelve angles created are marked a-l. ]()",Mistakes lines as parallel
7238,1622,AnswerDText,\( 12 \),MisconceptionDId,1214.0,"Given a positive x value, find a y value in a table of values for lines in the form ax + by = c","This is a table of values for \( 3 x+2 y=6 \) 
What should replace the star? \begin{tabular}{|l|c|c|c|c|c|}
\hline\( x \) & \( 0 \) & \( 1 \) & \( 2 \) & \( 3 \) & \( 4 \) \\
\hline\( y \) & \( \color{gold}\bigstar \) &   \\
\hline
\end{tabular}","When solving an equation, uses the same operation rather than the inverse."
7239,1623,AnswerDText,\( 8 \),MisconceptionDId,1982.0,Interpret continuous data using a line graph,"How many months have an average temperature above 23⁰C ? ![A line graph with title ""Monthly Average temperatures for Zakynthos, Greece. (⁰C)"". 
The x-axis is labelled with the first letter of every month of the year and is titled ""Months"". 
The y-axis is titled ""Average temperature (⁰C)"" and the scale is labelled from 18 to 34 in steps of 2. The following points are plotted and joined together: (J, 18), (F, 20), (M, 21), (A, 22), (M, 23), (J, 25), (J, 29), (A, 32), (S, 27), (O, 22), (N, 20), (D, 18).]()","When asked to find data points above a certain value, gives the number of data points below this value"
7240,1624,AnswerDText,Eighteen,MisconceptionDId,131.0,Identify factors of a number,Which of these is not a factor of \( 18 \) ?,Does not think a number can be a factor of itself
7241,1625,AnswerDText,\( 3.15 \),MisconceptionDId,1248.0,Round non-integers to other non-integer values (e.g. 0.02),What is \( \mathbf{3 . 1 5 3} \) rounded to the nearest \( \mathbf{0 . 0 2} \) ?,Rounds to the wrong degree of accuracy (rounds too little)
7242,1626,AnswerDText,\( 100 \pi\ \mathrm{cm}^{2} \),MisconceptionDId,1686.0,Calculate the volume of a cylinder when the dimensions are given in the same units,What is the area of the face marked \( F \) ![A cylinder with height 9cm and radius 5cm. An arrow points to the circular face at the bottom of the cylinder.](),Confuses diameter and radius
7243,1627,AnswerDText,\( 22.36 \mathrm{~m} \),MisconceptionDId,2286.0,Calculate the distance travelled using a speed-time graph,"The velocity-time graph shows the velocity of a car during a journey ![A velocity-time graph. Section A goes from (0,0) to (10,20). With the 10 being 10 seconds and the 20 being 20 m/s.]() What was the distance travelled during section
A?",Believes the length of the line in a velocity time graph gives the distance (rather than the area underneath that line).
7245,1629,AnswerDText,Neither is correct,MisconceptionDId,1554.0,Identify factors of algebraic expressions,"Tom and Katie are discussing factors
Tom says \( 3 \) is a common factor of \( 12 x \) and \( 15 y^{2} \)
Katie says \( x \) is a common factor of \( 12 x \) and \( 15 y^{2} \)
Who is correct?",Does not know how to identify common factors from algebraic terms
7248,1632,AnswerDText,Does not simplify,MisconceptionDId,346.0,"Multiply algebraic terms, where both are linear versions of different letters (e.g. 4a x 2b)","Simplify, if possible:
\[
6 a \times 4 b
\]",Does not understand how to multiply algebraic terms
7249,1633,AnswerDText,Neither is correct,MisconceptionDId,74.0,"Solve two-step linear equations, with the variable on one side, with all positive integers","Jo and Paul are arguing about a first step to solve this equation:
\(
6(m+4)=24
\)
Jo says you can write: \( m+4=4 \)
Paul says you can write: \( 6 m=20 \)
Who is correct?",Believes they must expand brackets before solving an equation
7250,1634,AnswerDText,\( 1.0 \),MisconceptionDId,2392.0,Round numbers between 0 and 1 to one significant figure,Round \( 0.0735 \) to \( 1 \) significant figure,Rounds to the wrong degree of accuracy (rounds too much)
7251,1635,AnswerDText,Neither is correct,MisconceptionDId,1336.0,Recognise and name an identity,"Tom and Katie are discussing identities
Tom says an identity sign should replace the star here: \( 5 y+7 \underset{\star}{2} 7+5 y \) Katie says an identity sign should replace the star here: \( 5 y-7 \underset{\star} 7-5 y \) Who is correct?",Does not realise addition is commutative
7252,1636,AnswerDText,Neither is correct,MisconceptionDId,110.0,Solve coordinate geometry questions involving quadrilaterals,"Tom and Katie are discussing what coordinates would complete a square.
Tom says \( (1,8) \) and \( (5,8) \)
Katie says \( (3,6) \) and \( (3,2) \)
Who is correct? ![A pair of axes with no labels, 1st quadrant only. 2 points are marked with red dots and are labelled with co-ordinates: (1, 4) and (5, 4).]()",Does not know how to find the length of a line segment from coordinates
7253,1637,AnswerDText,\( -5<x<15 \),MisconceptionDId,1214.0,Solve linear inequalities involving two inequality signs,"What is the solution to the following inequality?
\(-3<2 x+1<7\)","When solving an equation, uses the same operation rather than the inverse."
7255,1639,AnswerDText,\( £ 80000 \),MisconceptionDId,1773.0,Subtract integers with more than 4 digits using a written method where carrying is not needed,"Colm wins \( £ 55750 \) on the lottery and gives \( £ 25250 \) to charity.
How much money does Colm keep?",Adds rather than subtracts when answering worded problems
7256,1640,AnswerDText,\( 6 \),MisconceptionDId,495.0,Multiply proper fractions in the form: Fraction × Integer,\( \frac{1}{6} \times 6=? \),Thinks converting an integer to a fraction means both the numerator and denominator are equal
7257,1641,AnswerDText,All are representative,MisconceptionDId,1126.0,Understand the limitations of the mean,"Which of the following would not be representative of this data?
\[
5,6,7,8,8,9,11,12,320
\]",Believes the mean is always representative
7258,1642,AnswerDText,\( = \),MisconceptionDId,1828.0,Use inequality notation to order integers with a different number of digits,"Which symbol makes the following statement correct?
\(
725,912 \quad \square \quad 2,705,291
\)",Does not understand inequality notation
7259,1643,AnswerDText,Equidistant,MisconceptionDId,1513.0,Understand key loci terms like equidistant and perpendicular,"![A set of axes: x-axis from -4 to 4, y-axis from -4 to 4. A red line is drawn from (-2,2) to (2,2).]() The red line is _________ to the y axis.",Does not know the meaning of perpendicular
7260,1644,AnswerDText,\( 1: 5 \),MisconceptionDId,357.0,Solve length problems involving similar shapes where the missing length is the longer one,"What is the ratio of \( x \) to \( y \) ? ![A triangle. The bottom width is marked '15cm'. One side is split into two parts, one part is called 'x', the other is marked 'y'. A second line goes across the triangle from where the side is split into two parts. It is marked '5cm'. ]()",Does not understand that in the ratio 1:n the total number of parts would be 1+n 
7261,1645,AnswerDText,"\[
p=4
\]
or
\[
p=-4
\]",MisconceptionDId,1214.0,Solve quadratic equations using balancing,"Solve this equation, giving all solutions:
\(
3 p^{2}+9=39
\)","When solving an equation, uses the same operation rather than the inverse."
7262,1646,AnswerDText,\( m+n=360 \),MisconceptionDId,1908.0,Use angles around a point with algebra to prove results,"Which of the following statements can you prove from this diagram? ![Angles around a point split into three parts with the parts labelled: m+50, 2m+n and 220-2m]()",Ignores numerical terms when setting up an equation from a question
7263,1647,AnswerDText,\( p-q+3 \),MisconceptionDId,1875.0,Write algebraic expressions with correct algebraic convention,"Which of the following is the correct way of writing: \( p \) divided by \( q \), then add \( 3 \) using algebraic convention?",Has used a subtraction sign to represent division
7264,1648,AnswerDText,\( 0.2 \),MisconceptionDId,2346.0,Calculate the range from a list of data,"What is the range of the following numbers?
\[
0.2, \quad 0.22, \quad 0.212
\]","When subtracting decimals with a different number of decimal places, lines up the digits incorrectly"
7266,1650,AnswerDText,\( 70 \),MisconceptionDId,1710.0,Calculate percentage of an amount mentally where the percent is a multiple of 10,\( 20 \% \) of \( 35= \),"When finding a percentage of an amount, assumes they divide the percentage by 10, but not the amount, before multiplying"
7267,1651,AnswerDText,Neither is correct,MisconceptionDId,1370.0,Sort and class quadrilaterals into hierarchical families,"Tom and Katie are arguing about parallelograms. Tom says this shape is a parallelogram ![A four sided shape. All sides are equal, opposite angles are equal. There are no right angles.]() Katie says this shape is a parallelogram ![A four sided shape. Opposite sides are equal, all angles are right angles.]() Who is correct?",Does not believe a shape can have two correct names e.g. rectangle and parallelogram
7270,1654,AnswerDText,\( 0 \),MisconceptionDId,832.0,"Given a positive x value, find the corresponding y value for reciprocal graphs","This is a part of the table of values for the equation \( y=\frac{3}{x} \) \begin{tabular}{|c|c|}
\hline\( x \) & \( 3 \) \\
\hline\( y \) & \( \bigstar \) \\
\hline
\end{tabular} What should replace the star?",Believes that a fraction with equal numerator and denominator cancels to 0
7272,1656,AnswerDText,\( 7 \times 30 \),MisconceptionDId,1445.0,Calculate the sector angle on a pie chart for a given group,"A class of students were surveyed about how many siblings they have.

A selection of results are shown in the table. \begin{tabular}{|c|c|c|}
\hline Number of siblings & Frequency & Angle on a pie chart \\
\hline  0  & \( 7 \) & \( \bigstar \) \\
\hline 1  & \( \) & \( 144 \degree \) \\
\hline 2  & \(  \) & \(  \) \\
\hline 3  & \( 4 \) & \(  \) \\
\hline 4 or more  & \(  \) & \(  \) \\
\hline  TOTAL  & 30  & \(  \) \\
\end{tabular} Jenny wants to draw a pie chart of the information.

Which of the following calculations would work out what replaces the star?",Believes you find the angle for a pie chart sector by doing its frequency multiplied by total frequency
7273,1657,AnswerDText,\( 0.3 \% \),MisconceptionDId,1320.0,Convert decimals less than 1 with 2 decimal place to percentages,What is \( 0.03 \) written as a percentage?,Multiplied by 10 rather than 100
7275,1659,AnswerDText,\( \frac{7}{10} \),MisconceptionDId,2359.0,Divide mixed number fraction in the form: Integer ÷ Fraction,\( 4 \div 2 \frac{4}{5} \) Which of the following is a correct way to write the answer to this calculation?,Believes division is commutative 
7279,1663,AnswerDText,\( 15 \) hours,MisconceptionDId,1731.0,Read values off a real life graph,"This graph shows the relationship between journey time and the speed of a car.
How long will the journey take if the car travels at \( 30 \mathrm{mph} \) ? ![A graph showing speed in miles per hour on the x axis and journey time in hours on the y axis. A curve is shown that has a steep negative gradient to start with, that gradually becomes less steep until it is nearly horizontal. The curve passes through the points (8,30) and (30,7)]()",Makes an assumption about the squares on a scale representing either 1 or 10
7280,1664,AnswerDText,\( 4 \),MisconceptionDId,1676.0,Add surds in the form mva + nvb,"\(
2 \sqrt{5}+2 \sqrt{45} \equiv d \sqrt{5}
\)

What is the value of \( d \) ?","When adding or subtracting surds, does not simplify the surd before adding the numbers in front of the surd"
7281,1665,AnswerDText,Neither is correct,MisconceptionDId,1929.0,"Solve three or more step linear equations, with the variable on one side, with all positive integers","Tom and Katie are discussing how to solve:
\(\frac{5 x-1}{3}=2\)

Tom says a correct next line of working could be: \( 5 x-1=6 \)

Katie says a correct next line of working could be: \( \frac{5 x}{3}=3 \)

Who is correct?",Does not understand the concept of inverse operations in algebra
7284,1668,AnswerDText,"horse, goat
& toad",MisconceptionDId,42.0,Identify the regions on a double Venn diagram given in set notation,"Which element(s) is/are in \( P^{\prime} \) ? ![A diagram showing a Venn diagram of 2 circles. The left cicle is for Set P and contains cat in its left part, horse in the intersection. The right circle is for set Q and contains goat in its right part, horse in the intersection. Outside of the circles it says toad.]()",Believes that the complement of a set includes any elements which are also in another set.
7286,1670,AnswerDText,![D points to 'the base' which is the rectangular face coming off the long horizontal side of the right angled triangle](),MisconceptionDId,2231.0,Calculate the volume of a triangular-based prism when the dimensions are given in the same units,"Amy wants to calculate the volume of this shape.

Which face should she work out the area of to help her? ![The diagram shows a right angled triangular prism with arrows pointing to one of the right angled triangle faces and the three rectangular faces.]()",Thinks cross section of a prism can be any face
7287,1671,AnswerDText,Sum,MisconceptionDId,1473.0,Recognise when to find the Lowest Common Multiple to solve a problem,"A hot tap drips every \( 12 \) seconds
A cold tap drips every \( 8 \) seconds
They both drip at exactly the same time
After how many seconds will they next drip at the same time?
To solve this problem you need to work out the  \( _____ \) of \( 12 \) and \( 8 \)",Believes adding two numbers finds their lowest common multiple
7288,1672,AnswerDText,\( 11.59 \),MisconceptionDId,2330.0,Round numbers to two decimal places,What is \( \mathbf{1 1 . 4 7 8 1} \) rounded to \( 2 \) decimal places?,Rounds incorrectly by changing multiple place values
7290,1674,AnswerDText,\( 37 \),MisconceptionDId,2034.0,Add fractions involving mixed number fractions with different denominators,"\(
2 \frac{1}{3}+\frac{3}{4}=3 \frac{\bigstar}{12}
\)
What should replace the star?",Finds an equivalent improper fraction when asked for a mixed number
7293,1677,AnswerDText,\( (x+14)(x+6) \),MisconceptionDId,418.0,Factorise a quadratic expression in the form x² + bx + c,Factorise \( x^{2}+20 x+64 \),"Believes that when factorising a quadratic, they can choose any two numbers that add to give the coefficient of x"
7294,1678,AnswerDText,\( 12.5 \mathrm{mph} \),MisconceptionDId,790.0,"Given the distance travelled, complete missing values on a speed-time graph","Work out the speed \( v \) if the distance travelled is \( 50 \) miles. ![A speed-time graph. The vertical axis is labelled Speed (mph) and has no scale marked except for the letter v four squares up.
The horizontal axis is labelled Time (seconds) and the scale is 0, 1, 2, 3, 4 in even steps.
The graph consists of two sloped lines. The first is from (0,0) to (2, v) and the second is from (2, v) to (4, 0).]()",Thinks the shape of the graph does not affect the area calculation
7295,1679,AnswerDText,"![A bar model showing a bar for Jodie's age as y + 3 which is half the width of her father's bar.  Her father's bar is shown as 46 in total, split into 2 lots of 23.]()",MisconceptionDId,31.0,Write a formula to describe a situation,"Jodie was \( y \) years old on her birthday \( 3 \) years ago.
Her father was \( 43 \) years old. This year Jodie is half her father's age.
Which answer does not correctly represent this scenario?",Does not understand bar modelling in algebra
7297,1681,AnswerDText,\( 9 \times 12 \),MisconceptionDId,794.0,Round decimals to the nearest whole number,"Jane measures the length and width of her rectangular classroom as \( 8.3 \mathrm{~m} \) and \( 12.9 \mathrm{~m} \).
Which calculation will give the best estimate of the area?",Rounds up rather than to one significant figure
7301,1685,AnswerDText,\( \frac{1}{12} \),MisconceptionDId,1128.0,Express a division as a fraction,"Samia has \( 12 \) cakes to share between \( 5 \) people.
What fraction of a cake does each person get?",Does not know how to interpret a fraction worded problem 
7302,1686,AnswerDText,"![A column subtraction written as 7.0 - 0.612 The 7 is above the 6, the decimal point in 7.0 is above the 1 and the 0 of 7.0 is above the 2.]()",MisconceptionDId,2203.0,Subtract decimals from integers,How should you line up the digits to calculate \( 7-0.612 \) ?,Lines up the digits incorrectly when doing a subtraction involving two numbers with a different amount of digits
7303,1687,AnswerDText,\( -1 \),MisconceptionDId,1103.0,Read a decimal on a scale where the required measurement is marked by a dash between two numbers,"What is the value of A? ![A horizontal number-line with 11 vertical, equally spaced, dashes representing the position of numbers. ""-6"" below the 2nd dash and ""3"" below the last dash are the only numbers marked on the line. An arrow, labelled ""A"" is pointing halfway between the 4th and 5th dashes. ]()","When reading integers on a number line, assumes each dash is 2"
7304,1688,AnswerDText,\( 88 \),MisconceptionDId,2252.0,Write a missing term of an ascending integer linear sequence,The \( 1^{\text {st }} \) term in a linear sequence is \( 8 \). The \( 4^{\text {th }} \) term of the sequence is \( 41 \). What is the \( 8^{\text {th }} \) term of the sequence?,Believes you multiply the constant difference by the term number to get the term value
7305,1689,AnswerDText,\( 1 \frac{2}{0} \),MisconceptionDId,172.0,Subtract fractions involving mixed number fractions with the same denominator,\( 2 \frac{4}{5}-1 \frac{2}{5}= \) Leave your answer as a mixed number,"When subtracting fractions, subtracts the numerators and denominators"
7306,1690,AnswerDText,\( \frac{8}{6} \),MisconceptionDId,1542.0,Express one quantity as a fraction of another,"A group of \( 8 \) friends share \(  £6 \) equally.
What fraction of the money do they each get?",Believes that a fraction means dividing the denominator by the numerator
7307,1691,AnswerDText,\( \frac{1}{10} \),MisconceptionDId,1655.0,Subtract proper fractions with different denominators which do not share a common factor,Work out: \( \frac{5}{8}-\frac{1}{5} \) Give your answer in the simplest form.,"When adding fractions, changes to common denominator but leaves numerators the same"
7311,1695,AnswerDText,Neither is correct,MisconceptionDId,470.0,"Reflect an object or a point in a diagonal line with the line of reflection drawn, where the line of reflection lies on the edge or outside the object",Tom and Katie are discussing reflections ![Tom says this reflection will create a rectangle. There is a diagonal dashed line with a square sitting on the line.]() ![Katie says this reflection will create a square. There is a diagonal dashed line with a rectangle sitting on the line.]() Who do you agree with?,Cannot reflect shape when line of symmetry is diagonal 
7312,1696,AnswerDText,\( 365 \),MisconceptionDId,1322.0,Convert from years to days,\( 1 \) leap year \( =\square \) days,Does not know how many days are in a leap year
7314,1698,AnswerDText,\( 45 \),MisconceptionDId,1293.0,"Given a description of a descending linear sequence in words, write some terms of that sequence","If the first term of a sequence is \( 100 \) and the term-to-term rule is \( -5 \), what is the \( 10^{\text {th }} \) term in this sequence?",Identifies how much repeated use of the term-to-term rule changes a number but does not apply to the sequence
7315,1699,AnswerDText,\( \{x<-8\} \cup\{x>8\} \),MisconceptionDId,1880.0,Solve positive quadratic inequalities by balancing e.g x² ≤ a,"Which of the following is the correct solution to the inequality?
\(
x^{2}<64
\)",Mixes up greater than and less than symbols
7317,1701,AnswerDText,Diameter,MisconceptionDId,1741.0,Identify a chord,What is the correct name for the line marked on the circle? ![\( \theta \)](),Confuses diameter and chord
7318,1702,AnswerDText,\( 2.7 \),MisconceptionDId,1214.0,"Given a positive x value, find a y value in a table of values for lines in the form ax + by = c","This is a part of the table of values for the equation
\[
10 x-6 y=30
\] \begin{tabular}{|l|l|}
\hline\( x \) & \( \bigstar \) \\
\hline\( y \) & \( 0.5 \) \\
\hline
\end{tabular} What should replace the star?","When solving an equation, uses the same operation rather than the inverse."
7320,1704,AnswerDText,\( x^{2}+x-5>0 \),MisconceptionDId,1880.0,Solve quadratic inequalities from the graph of the quadratic,Which inequality is represented by the shaded region? ![A graph of a quadratic equation. There are dashed vertical lines through the roots of the quadratic. The shaded region is between these vertical lines. ](),Mixes up greater than and less than symbols
7323,1707,AnswerDText,\( A=6+4 x \),MisconceptionDId,982.0,Use area to write algebraic expressions,Which of the following formulae gives the area of this rectangle? ![Rectangle with base 3 and height 2x.](),Calculates perimeter when asked for area
7326,1710,AnswerDText,Not enough information,MisconceptionDId,2472.0,Write the next term of a descending integer linear sequence,"What is the next term in this sequence?


\[
105, \quad 97, \quad 89, \quad \ldots
\]",Does not know how to find the next term in a sequence
7330,1714,AnswerDText,\( \frac{2}{3} \),MisconceptionDId,381.0,Divide proper fractions in the form: Fraction ÷ Integer,"Calculate:
\(
\frac{6}{9} \div 3
\)","When dividing a fraction by an integer, divides both the numerator and denominator by the integer"
7331,1715,AnswerDText,"![The number 3, then a calculator button labelled \(-\), then the number 7]()",MisconceptionDId,1208.0,Know the functionality of other non-numeric buttons on a calculator,Which of the following would allow you to type \( \frac{3}{7} \) on your calculator? ![A scientific calculator](),Believes the subtraction button writes a fraction
7332,1716,AnswerDText,\( \triangle=+4 \),MisconceptionDId,2225.0,Expand two brackets with linear terms in the form (ax + b)(x + c),"When you multiply out the brackets and simplify, what replaces the triangle?
\(
(3 m+2)(m-2) \equiv \bigstar \ m^{2} \triangle \  m \bigcirc
\)",Thinks signs are interchangeable when adding or subtracting positive and negative numbers
7333,1717,AnswerDText,\( \frac{5}{6}+r=7 \),MisconceptionDId,120.0,"Solve linear equations with the variable appearing on both sides, involving positive fractions","Which of the following is a correct first step to solve this equation:
\(\frac{5 r+6}{6 r}=7\)",Does not understand equivalent fractions
7340,1724,AnswerDText,\( 4000 \),MisconceptionDId,2565.0,Recognise the place value of each digit in integers,"What is the value of the \( 4 \) in this number?
\( 31405 \)",Confuses the hundreds and thousands place value columns
7342,1726,AnswerDText,Not enough information,MisconceptionDId,1527.0,"Calculate missing lengths of shapes by geometrical inference, where the lengths involve algebraic expressions","What length replaces the \( \color{green}\bigstar \)? ![A diagram showing a compound shape. It is an L shape rotated 90 degrees clockwise. The top full width is 3x+4, the partial width to the right is 2x. The left full height is 5, the partial height on the right is 2. There is a green star on the left partial width at the bottom of the diagram.]()",Does not know how to find missing lengths in a composite shape
7343,1727,AnswerDText,\( 6 p-3 \),MisconceptionDId,1510.0,Multiply a single term over a bracket where the term on the outside is a number and the inside contains a linear expression,"Expand:
\[
3(1-2 p)
\]",Believes subtraction is commutative 
7345,1729,AnswerDText,\( 35 \times 7 \),MisconceptionDId,126.0,Identify that a problem needs to be solved using addition,"Which of the following calculations would solve this problem?
Harvey is monitoring the growth of his plant. The plant was \( 35 \mathrm{~cm} \) tall. It grew \( 7 \mathrm{~cm} \) more.
How tall is the plant now?",Multiplies rather than adds when given the command word 'more'
7348,1732,AnswerDText,\( 45 \),MisconceptionDId,1939.0,Interpret remainders from written division problems,"\( 321 \) children are going on a school trip. One adult is needed for every seven children.

How many adults are needed?",Difficulty with translating a mathematical answer into a real world context
7349,1733,AnswerDText,\( 22 \),MisconceptionDId,1532.0,Interpret what the numbers in each region of a double Venn diagram mean,"All the students in a class were asked if they have a brother, sister, both or none.

The Venn Diagram shows the results. ![A Venn diagram with two sets, one labelled Brother and one labelled Sister. The number 11 is written in Brother without the intersection , number 7 is in Sister without the intersection, the number 4 is in the intersection of Brother and Sister. The number 6 is outside the circles.]() How many students are in the class?",Forgets to include values outside of the Venn diagram when finding the total
7352,1736,AnswerDText,\( +4 \),MisconceptionDId,1510.0,Find the nth term rule for ascending quadratic sequences in the form x² + bx + c,"\[
-1,4,11,20,31, \ldots
\]

When calculating the nth-term rule of this sequence, what should replace the square? nth-term rule:
\(
n^{2}+2 n \) \(\square\)
",Believes subtraction is commutative 
7353,1737,AnswerDText,Not enough information,MisconceptionDId,935.0,Use perimeter to write algebraic expressions,What is an expression for the perimeter of this rectangle? ![Yellow rectangle with base length a and side length b](),Fails to use the properties of simple shapes to work out missing lengths
7354,1738,AnswerDText,A right angle,MisconceptionDId,219.0,Identify reflex angles,An angle measures \( 212^{\degree} \). This means it is...,Does not know that a right angle is 90 degrees
7355,1739,AnswerDText,opposite angles,MisconceptionDId,625.0,Identify corresponding angles,What type of angles are highlighted in this diagram? ![The diagram is of a pair of parallel lines with a line crossing them. The two highlighted angles each have a parallel line above it and the transverse line to the left of it.](),Confuses corresponding and vertically opposite angles
7356,1740,AnswerDText,\( y=1 \),MisconceptionDId,2113.0,Identify the line of symmetry of curves in the form (x + a)(x + b),"This is the graph of
\(y=(x+1)(x-3)\) ![A set of axes with the graph y=(x+1)(x-3) drawn on.]() What is the equation of the line of symmetry?",Confuses the equations of vertical and horizontal lines
7357,1741,AnswerDText,Fibonacci,MisconceptionDId,2228.0,Recognise that a sequence is quadratic when expressed as a pattern,"Which of the following is the best way to describe this sequence: ![First three patterns in a sequence. They are all rectangles made up of small squares. Pattern 1 is three small squares on top of one another, so the dimensions of the rectangle are 1 across and 3 up. Pattern 2 is a rectangle of dimensions 2 squares across and 6 up. Pattern 3 is a rectangle of dimensions 3 squares across and 9 squares up.]()",Does not know what a Fibonacci sequence is
7358,1742,AnswerDText,Does not simplify,MisconceptionDId,436.0,Simplify algebraic expressions to maintain equivalence by collecting like terms involving three or more linear variables,"Simplify the following expression by collecting
like terms
\(6 x-2 y-z+3 y\)",Does not understand when like terms can be collected
7359,1743,AnswerDText,\( 264 \% \),MisconceptionDId,890.0,Express one quantity as a percentage of another mentally,"I increase \( £ 150 \) by \( 60 \% \).
Then, I increase the new amount by \( 10 \% \).
What percentage of the original amount do I have now?",Thinks they had to give the new amount rather than the total percentage that the original has been increased by.
